time,N2L4_1,N2L4_2,N2L4_3,N2L4_4,N2L4_5,N2L4_6,JKL4_1,JKL4_2,JKL4_3,JKL4_4,JKL4_5,JKL4_6,JKL4_7,JKL4_8,JKL4_9,JKL4_10,JK6DA_1,JK6DA_2,JK6DA_3,JK6DA_4,JK6DA_5,JK6DA_6,JK6DA_7,JK6DA_8,JK6DA_9,JK6DA_10
5,19,20,20,20,16,21,20,20,20,19,20,,,,,,20,,,,,,,,,
10,20,16,15,20,19,17,20,17,20,20,20,,,,,,20,,,,,,,,,
15,19,19,15,20,20,19,20,18,19,19,20,,,,,,20,,,,,,,,,
20,18,12,21,19,17,21,19,18,21,20,20,,,,,,20,,,,,,,,,
25,17,10,16,19,19,20,18,18,18,20,18,,,,,,20,,,,,,,,,
30,19,15,20,22,18,20,19,20,21,19,20,,,,,,20,,,,,,,,,
35,20,15,19,20,17,16,20,18,15,20,20,,,,,,,,,,,,,,,
40,19,17,18,19,18,20,17,19,17,20,18,,,,,,,,,,,,,,,
45,18,20,12,20,19,20,18,18,20,15,19,,,,,,,,,,,,,,,
50,19,17,18,20,20,19,21,18,20,16,20,,,,,,,,,,,,,,,
55,21,19,18,16,19,20,19,17,16,20,,,,,,,,,,,,,,,,
60,19,17,19,21,,19,,19,19,19,,,,,,,,,,,,,,,,
65,19,18,20,17,,20,,,,,,,,,,,,,,,,,,,,
70,18,19,19,21,,19,,,,,,,,,,,,,,,,,,,,
75,,17,18,20,,18,,,,,,,,,,,,,,,,,,,,
80,,20,22,19,,18,,,,,,,,,,,,,,,,,,,,
85,,19,19,20,,,,,,,,,,,,,,,,,,,,,,
90,,16,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,