plate_no,worms,apple_mass,large_colonies,small_colonies,inoculation_factor,dilution_factor,volume_plated,date,notes
1,1,1137,18,,0.000001,10000,50,2016/5/8,
2,1,1140,6,,0.000001,10000,50,2016/5/8,
3,1,1161,3,,0.000001,10000,50,2016/5/8,
4,0,1171,26,,0.000001,10000,50,2016/5/8,
5,0,1232,29,,0.000001,10000,50,2016/5/8,
6,0,1147,6,,0.000001,10000,50,2016/5/8,
7,1,1186,73,,0.0000001,1000,50,2016/5/8,
8,1,1180,118,,0.0000001,1000,50,2016/5/8,
9,1,1243,115,,0.0000001,1000,50,2016/5/8,
10,0,1131,52,,0.0000001,1000,50,2016/5/8,
11,0,1259,3,,0.0000001,1000,50,2016/5/8,
12,0,1122,18,,0.0000001,1000,50,2016/5/8,
13,1,1236,0,,0.00000001,100,50,2016/5/8,
14,1,1207,0,,0.00000001,100,50,2016/5/8,
15,1,1207,3,,0.00000001,100,50,2016/5/8,
16,0,1180,352,,0.00000001,100,50,2016/5/8,
17,0,1256,0,,0.00000001,100,50,2016/5/8,
18,0,1170,0,,0.00000001,100,50,2016/5/8,
4,0,1146,13,0,0.00001,100000,100,2016/5/26,
3,0,1152,13,0,0.00001,100000,100,2016/5/26,
2,0,1093,6,0,0.00001,100000,100,2016/5/26,
1,0,1129,2,0,0.00001,100000,100,2016/5/26,
4,0,1133,16,0,0.000001,10000,100,2016/5/26,
3,0,1144,70,0,0.000001,10000,100,2016/5/26,
2,0,1145,51,1,0.000001,10000,100,2016/5/26,
1,0,1123,84,1,0.000001,10000,100,2016/5/26,
1,0,1099,12,1,0.0000001,1000,100,2016/5/26,
2,0,1144,289,3,0.0000001,1000,100,2016/5/26,
3,0,1107,89,1,0.0000001,1000,100,2016/5/26,
4,0,1127,292,2,0.0000001,1000,100,2016/5/26,
4,1,1148,,,0.00001,100000,100,2016/5/26,contaminated
3,1,1110,2,78,0.00001,100000,100,2016/5/26,
2,1,1166,0,1,0.00001,100000,100,2016/5/26,
1,1,1152,2,62,0.00001,100000,100,2016/5/26,
4,1,1145,10,3,0.000001,10000,100,2016/5/26,
3,1,1162,22,6,0.000001,10000,100,2016/5/26,
2,1,1190,14,0,0.000001,10000,100,2016/5/26,
1,1,1160,8,10,0.000001,10000,100,2016/5/26,
1,1,1131,51,43,0.0000001,1000,100,2016/5/26,
2,1,1088,13,1,0.0000001,1000,100,2016/5/26,
3,1,1100,0,29,0.0000001,1000,100,2016/5/26,
4,1,1110,19,60,0.0000001,1000,100,2016/5/26,